ID_Colegio,Institucion,Municipio,Etapa,Tipo,Cat_1,Cat_2,Cat_3,Cat_4,Cat_5
125019000386,INSTITUCIÓN EDUCATIVA GENERAL CARLOS ALBAN,ALBÁN,e2,Logros,Planeación Curricular,Implementación,Evaluación,Articulación de Contenidos,Conocimiento Interconectado
125019000386,INSTITUCIÓN EDUCATIVA GENERAL CARLOS ALBAN,ALBÁN,e2,Retos,Revisión Documental,Planeación Educativa,Unificación de Criterios,Modelo Pedagógico,Enfoque Pedagógico
125019000386,INSTITUCIÓN EDUCATIVA GENERAL CARLOS ALBAN,ALBÁN,e2,Sugerencias,Transversalización,Competencias Culturales,Evaluación,Mejora Continua,Gestión Integral
125019000386,INSTITUCIÓN EDUCATIVA GENERAL CARLOS ALBAN,ALBÁN,e3,Logros,Reflexión Sistemática,Trabajo Colaborativo,Investigación Pedagógica,Planeación y Evaluación,Diseño de Clases
125019000386,INSTITUCIÓN EDUCATIVA GENERAL CARLOS ALBAN,ALBÁN,e3,Retos,Planeación,Evaluación,Comunidad Escolar,Investigación Pedagógica,Enfoque EPC
125019000386,INSTITUCIÓN EDUCATIVA GENERAL CARLOS ALBAN,ALBÁN,e3,Sugerencias,Caracterización de Estudiantes,Mejora de Prácticas,Comunidades de Indagación,Metodología Lesson Study,
125019000386,INSTITUCIÓN EDUCATIVA GENERAL CARLOS ALBAN,ALBÁN,e4,Logros,Neurociencias,Emociones,Práctica Docente,Aprendizaje,Formación Educativa
125019000386,INSTITUCIÓN EDUCATIVA GENERAL CARLOS ALBAN,ALBÁN,e4,Retos,Integración Neurociencia,Estrategias Pedagógicas,Conciencia Emocional,Prácticas Pedagógicas,Actualización Científica
125019000386,INSTITUCIÓN EDUCATIVA GENERAL CARLOS ALBAN,ALBÁN,e4,Sugerencias,Guía de Implementación,Comunidades de Aprendizaje,Formación Continua,Neurociencias,Espacios Formativos
125035000159,IED JULIO CÉSAR SÁNCHEZ,ANAPOIMA,e5,Logros,Reflexión Directiva,Estrategias Activas,Acompañamiento Docente,Cambio de Prácticas,Implementación Pedagógica
125035000159,IED JULIO CÉSAR SÁNCHEZ,ANAPOIMA,e5,Retos,Trabajo Reflexivo,Evaluación de Impacto,Estrategias Activas,Prácticas Evaluativas,Planeaciones 2025
125035000159,IED JULIO CÉSAR SÁNCHEZ,ANAPOIMA,e5,Sugerencias,Modelo Pedagógico,Participación Comunitaria,Revisión Manual de Convivencia,Autoevaluación Institucional,Metas de Gestión
125035000159,IED JULIO CÉSAR SÁNCHEZ,ANAPOIMA,e6,Logros,Modelo Pedagógico,Prácticas de Enseñanza,Actividades Activas,Evaluación,Habilidades Socioemocionales
125035000159,IED JULIO CÉSAR SÁNCHEZ,ANAPOIMA,e6,Retos,Mejoramiento Institucional,Acompañamiento Experiencial,Planeaciones Coherentes,Modelo Magistral,Lineamientos Institucionales
125035000159,IED JULIO CÉSAR SÁNCHEZ,ANAPOIMA,e6,Sugerencias,Análisis y Reflexión,Planeaciones de Clase,Mejora Continua,,
225035000072,IERD SAN ANTONIO,ANAPOIMA,e5,Logros,Implementación Pedagógica,Reflexión Directiva,Estándares Básicos de Competencias,Cambio de Prácticas,Coherencia en Planeaciones
225035000072,IERD SAN ANTONIO,ANAPOIMA,e5,Retos,Trabajo Reflexivo,Estrategias Activas,Planeaciones 2025,Marco Conceptual,Implementación del Modelo
225035000072,IERD SAN ANTONIO,ANAPOIMA,e5,Sugerencias,Modelo Pedagógico,Capacitación Docente,Metas de Gestión,,
225035000072,IERD SAN ANTONIO,ANAPOIMA,e6,Logros,Modelo Pedagógico,Prácticas de Enseñanza,Evaluación,Cambio Metodológico,Presión por Calificaciones
225035000072,IERD SAN ANTONIO,ANAPOIMA,e6,Retos,Mejoramiento Institucional,Acompañamiento Experiencial,Evaluación Calificativa,Metas Realistas,Seguimiento Docente
225035000072,IERD SAN ANTONIO,ANAPOIMA,e6,Sugerencias,Análisis de realidad,Mejora Continua,Acompañamiento docente,Evaluación formativa,Metas realistas
225035000358,IERD PATIO BONITO,ANAPOIMA,e5,Logros,Mejoramiento en pruebas,Implementación Pedagógica,Cambio de Prácticas,Acompañamiento Docente,Trabajo en equipo
225035000358,IERD PATIO BONITO,ANAPOIMA,e5,Retos,Implementación del Modelo,Estrategias Activas,Trabajo Reflexivo,Evaluación de Impacto,Integración Familiar
